2020-01-01,7194.89208984375,7254.33056640625,7174.9443359375,7200.17431640625,7200.17431640625,18565664997,,,130.802001953125,7935230330,6985.47021484375
2020-01-02,7202.55126953125,7212.1552734375,6935.27001953125,6985.47021484375,6985.47021484375,20802083465,18.489999771118164,7096800.0,127.4101791381836,8032709256,7344.88427734375
2020-01-03,6984.4287109375,7413.71533203125,6914.99609375,7344.88427734375,7344.88427734375,28111481032,18.56999969482422,13759300.0,134.1717071533203,10476845358,7410.65673828125
2020-01-04,7345.37548828125,7427.3857421875,7309.51416015625,7410.65673828125,7410.65673828125,18444271275,,,135.06936645507812,7430904515,7411.3173828125
2020-01-05,7410.45166015625,7544.4970703125,7400.53564453125,7411.3173828125,7411.3173828125,19725074095,,,136.2767791748047,7526675353,7769.21923828125
2020-01-06,7410.4521484375,7781.8671875,7409.29296875,7769.21923828125,7769.21923828125,23276261598,18.389999389648438,14286900.0,144.3041534423828,9093747121,8163.6923828125
2020-01-07,7768.68212890625,8178.2158203125,7768.2275390625,8163.6923828125,8163.6923828125,28767291327,18.469999313354492,12084100.0,143.5439910888672,9257954672,8079.86279296875
2020-01-08,8161.935546875,8396.73828125,7956.7744140625,8079.86279296875,8079.86279296875,31672559265,17.81999969482422,14582200.0,141.2581329345703,9387194957,7879.0712890625
2020-01-09,8082.2958984375,8082.2958984375,7842.40380859375,7879.0712890625,7879.0712890625,24045990466,17.600000381469727,11537900.0,138.9792022705078,7697325348,8166.55419921875
2020-01-10,7878.3076171875,8166.55419921875,7726.77490234375,8166.55419921875,8166.55419921875,28714583844,17.850000381469727,8361600.0,143.96377563476562,9084816203,8037.53759765625
2020-01-11,8162.19091796875,8218.359375,8029.64208984375,8037.53759765625,8037.53759765625,25521165085,,,142.92710876464844,9332208590,8192.494140625
2020-01-12,8033.26171875,8200.0634765625,8009.05908203125,8192.494140625,8192.494140625,22903438381,,,145.87393188476562,8528167453,8144.1943359375
2020-01-13,8189.77197265625,8197.7880859375,8079.70068359375,8144.1943359375,8144.1943359375,22482910688,17.450000762939453,8410700.0,144.22659301757812,8378529470,8827.7646484375
2020-01-14,8140.93310546875,8879.51171875,8140.93310546875,8827.7646484375,8827.7646484375,44841784107,17.559999465942383,10064900.0,165.95535278320312,16712318373,8807.0107421875
2020-01-15,8825.34375,8890.1171875,8657.1875,8807.0107421875,8807.0107421875,40102834650,17.899999618530273,10450300.0,166.23068237304688,15173694057,8723.7861328125
2020-01-16,8812.4814453125,8846.4609375,8612.095703125,8723.7861328125,8723.7861328125,31313981931,18.09000015258789,10178800.0,164.39100646972656,13735193018,8929.0380859375
2020-01-17,8725.2099609375,8958.1220703125,8677.31640625,8929.0380859375,8929.0380859375,36372139320,17.950000762939453,9789200.0,170.7799530029297,14997091826,8942.80859375
2020-01-18,8927.2119140625,9012.1982421875,8827.33203125,8942.80859375,8942.80859375,32337772627,,,175.3656768798828,14929342256,8706.2451171875
2020-01-19,8941.4453125,9164.3623046875,8620.080078125,8706.2451171875,8706.2451171875,34217320471,,,166.9698486328125,13713374132,8657.642578125
2020-01-20,8704.6318359375,8745.5908203125,8560.4736328125,8657.642578125,8657.642578125,26422375678,,,167.12051391601562,11144529787,8745.89453125
2020-01-21,8658.9912109375,8755.7060546875,8544.5205078125,8745.89453125,8745.89453125,24097418512,18.350000381469727,14625700.0,169.69715881347656,9789369362,8680.8759765625
2020-01-22,8744.2109375,8792.994140625,8636.7470703125,8680.8759765625,8680.8759765625,22600204051,18.290000915527344,10563200.0,168.29415893554688,9209827928,8406.515625
2020-01-23,8680.650390625,8687.7470703125,8333.6376953125,8406.515625,8406.515625,25770680779,18.43000030517578,13182200.0,162.92855834960938,10396868698,8445.4345703125
2020-01-24,8405.5673828125,8514.6669921875,8266.8408203125,8445.4345703125,8445.4345703125,24397913026,18.709999084472656,14750800.0,163.05117797851562,10657671162,8367.84765625
2020-01-25,8440.119140625,8458.453125,8296.21875,8367.84765625,8367.84765625,19647331549,,,161.283935546875,8256956802,8596.830078125
2020-01-26,8364.41015625,8602.4013671875,8325.498046875,8596.830078125,8596.830078125,22177678796,,,168.0771026611328,9261861590,8909.8193359375
2020-01-27,8597.30859375,8977.7265625,8597.30859375,8909.8193359375,8909.8193359375,28647338393,18.6200008392334,21295700.0,170.93089294433594,11004476145,9358.58984375
2020-01-28,8912.5244140625,9358.58984375,8908.447265625,9358.58984375,9358.58984375,34398744403,18.0,16125200.0,176.3703155517578,11772875064,9316.6298828125
2020-01-29,9357.470703125,9406.431640625,9269.4677734375,9316.6298828125,9316.6298828125,30682598115,18.3700008392334,8479500.0,175.0503387451172,10725267311,9508.9931640625
2020-01-30,9316.0166015625,9553.1259765625,9230.8974609375,9508.9931640625,9508.9931640625,32378792851,18.440000534057617,13839700.0,184.6904754638672,12604789338,9350.529296875
2020-01-31,9508.3134765625,9521.7060546875,9230.7763671875,9350.529296875,9350.529296875,29432489719,18.520000457763672,11002500.0,180.16017150878906,11728616394,9392.875
2020-02-01,9346.357421875,9439.3232421875,9313.2392578125,9392.875,9392.875,25922656496,,,183.6739501953125,11569697182,9344.365234375
2020-02-02,9389.8203125,9468.7978515625,9217.82421875,9344.365234375,9344.365234375,30835736946,,,188.61753845214844,14054425389,9293.521484375
2020-02-03,9344.68359375,9540.3720703125,9248.6337890625,9293.521484375,9293.521484375,30934096509,18.280000686645508,11758500.0,189.8650665283203,12392875241,9180.962890625
